Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneicFieldStrength,HardcopyDeviceSoftwareVersion,PulseSequenceType,FlipAngle,EchoTime,RepetitionTime,PixelBandwidth,MultibandAccelerationFactor,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,NumberOfSlices,PlaneOrientationSequentialuence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,NumberofMeasurements,AcquisitionDuration,ScanOptions,BulkMotionCompensationTechnique,TaskName,Instructions,TaskDescription,Notes,SliceTiming
NYU,Siemens,Allegra,Head,,3,,EPI,90,0.015,2,3906,,No,,,33,Axial > Coronal -23,k,i,Interleaved Ascending,4,4,Rectangular,240x192,80x64,3x3,180,6:00,FS,,rest,"Most participants were asked to relax with their eyes open, while a white cross-hair against a black background was projected on a screen. However, data were also included for some individuals who were asked to keep their eyes closed"," During the resting state fMRI scan, most participants were asked to relax with their eyes open, while a white cross-hair against a black background was projected on a screen. However, data were also included for some individuals who were asked to keep their eyes closed; in a few cases, participants closed their eyes regardless of instructions to maintain them open. Eye status during the MRI scan was monitored via an eye tracker and is detailed for each participant.",,"0.0,1030.3,60.61,1090.91,121.21,1151.52,181.82,1212.12,242.42,1272.73,303.03,1333.33,363.64,1393.94,424.24,1454.55,484.85,1515.15,545.45,1575.76,606.06,1636.36,666.67,1696.97,727.27,1757.58,787.88,1818.18,848.48,1878.79,909.09,1939.39,969.7"
OHSU,Siemens,TrioTim,Head,,3,,EPI,90,0.03,2.5,2298,,No,,,36,Axial > Coronal -6.1,k,j-,Interleaved Ascending,3.8,3.8,Rectangular,240x240,64x64,3.8x3.8,82,3:32,FS,,rest,,"Participants were scanned with eyes open; the protocol called for three sequential scans in the same session. Most, but not all participants were able to complete all three scans.",,"1250.0,0.0,1319.44,69.44,1388.89,138.89,1458.33,208.33,1527.78,277.78,1597.22,347.22,1666.67,416.67,1736.11,486.11,1805.56,555.56,1875.0,625.0,1944.44,694.44,2013.89,763.89,2083.33,833.33,2152.78,902.78,2222.22,972.22,2291.67,1041.67,2361.11,1111.11,2430.56,1180.56"
Olin,Siemens,Allegra,Head,,3,,EPI,60,0.027,1.5,4112,,No,,,29,Axial,k,j-,Interleaved Ascending,4,5,Rectangular,220x220,64x64,3.4x3.4,210,5:15,FS,,rest,"participants were instructed to lie still with their eyes open, fixating on a centrally presented cross","During fMRI, participants were instructed to lie still with their eyes open, fixating on a centrally presented cross for 5 minutes and 15 seconds. We did not ask to withhold any medications prior to scan",,"0.0,775.86,51.72,827.59,103.45,879.31,155.17,931.03,206.9,982.76,258.62,1034.48,310.34,1086.21,362.07,1137.93,413.79,1189.66,465.52,1241.38,517.24,1293.1,568.97,1344.83,620.69,1396.55,672.41,1448.28,724.14"
Pitt,Siemens,Allegra,Head,,3,,EPI,70,0.025,1.5,3126,,No,,,29,Axial > Coronal -18.4,k,j-,Interleaved Ascending,4,4,Rectangular,200x200,64x64,3.1x3.1,200,5:06,FS,,rest,participants were instructed to close their eyes and asked not to fall asleep.,"While in the scanner participants completed a memory tasks, followed by structural scans. The last run of the scan session was the rest fMRI sequence ",,"0.0,775.86,51.72,827.59,103.45,879.31,155.17,931.03,206.9,982.76,258.62,1034.48,310.34,1086.21,362.07,1137.93,413.79,1189.66,465.52,1241.38,517.24,1293.1,568.97,1344.83,620.69,1396.55,672.41,1448.28,724.14"
SBL,Philips,Intera,Head,,3,,EPI,80,0.03,2.2,1283.7,,Yes,SENSE,3,38,Axial,k,j-,Sequential Descending,2.72,2.992,Rectangular,220x220,80x80,2.75x2.75,200,7:28,FS,,rest,"relax and don't think about anything in particular, try to move as little as possible, and keep your eyes closed"," The back-projection screen was turned off, and the light in the scanner room was dimmed.",,"2142.11,2084.21,2026.32,1968.42,1910.53,1852.63,1794.74,1736.84,1678.95,1621.05,1563.16,1505.26,1447.37,1389.47,1331.58,1273.68,1215.79,1157.89,1100.0,1042.11,984.21,926.32,868.42,810.53,752.63,694.74,636.84,578.95,521.05,463.16,405.26,347.37,289.47,231.58,173.68,115.79,57.89,0.0"
SDSU,GE,MR750,Head,8Ch,3,,EPI,90,0.03,2,,,Yes,ASSET,2,,Axial,k,j-,Interleaved Ascending,3.4,3.4,Rectangular,220x220,64x64,3.4x3.4,180,6:10,,,rest,"Participants were instructed to keep their eyes directed on a cross-hair in the center of the projector, relax, and try not to fall asleep for the duration of the scan.",,,n/a
Stanford,GE,Signa,Head,,3,,Spiral,80,0.03,2,,,,,,29,Oblique,,,,4.5,,Rectangular,200x200,64x64,3.125x3.125,,,,,rest, we asked participants to keep their eyes closed.,,,n/a
Trinity,Philips,Achieva,Head,,3,,EPI,90,0.028,2,2419.2,,Yes,SENSE,2,38,Axial,k,j-,Sequential Ascending,3.5,3.85,Rectangular,240x240,80x80,3x3,150,5:06,FS,,rest,particpants were instructed to keep their eyes closed and to rest for five minutes.,,,"0.0,52.63,105.26,157.89,210.53,263.16,315.79,368.42,421.05,473.68,526.32,578.95,631.58,684.21,736.84,789.47,842.11,894.74,947.37,1000.0,1052.63,1105.26,1157.89,1210.53,1263.16,1315.79,1368.42,1421.05,1473.68,1526.32,1578.95,1631.58,1684.21,1736.84,1789.47,1842.11,1894.74,1947.37"
UCLA_1,Siemens,TrioTim,Head,,3,,EPI,90,0.028,3,2442,,No,,,34,Axial > Coronal -21.1,k,j-,Interleaved Ascending,4,4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,Relax and think about whatever you want. Keep your eyes open and keep your head still,"A white screen with a black fixation cross in the middle of the screen was presented. For some participants, the MPRAGE and resting state scans were performed on separate dates.",,"1500.0,0.0,1588.24,88.24,1676.47,176.47,1764.71,264.71,1852.94,352.94,1941.18,441.18,2029.41,529.41,2117.65,617.65,2205.88,705.88,2294.12,794.12,2382.35,882.35,2470.59,970.59,2558.82,1058.82,2647.06,1147.06,2735.29,1235.29,2823.53,1323.53,2911.76,1411.76"
UCLA_2,Siemens,TrioTim,Head,,3,,EPI,90,0.028,3,2442,,No,,,34,Axial > Coronal -21.1,k,j-,Interleaved Ascending,4,4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,Relax and think about whatever you want. Keep your eyes open and keep your head still,"A white screen with a black fixation cross in the middle of the screen was presented. For some participants, the MPRAGE and resting state scans were performed on separate dates.",,"1500.0,0.0,1588.24,88.24,1676.47,176.47,1764.71,264.71,1852.94,352.94,1941.18,441.18,2029.41,529.41,2117.65,617.65,2205.88,705.88,2294.12,794.12,2382.35,882.35,2470.59,970.59,2558.82,1058.82,2647.06,1147.06,2735.29,1235.29,2823.53,1323.53,2911.76,1411.76"
UM_1,GE,Signa,Head,,3,,Gradient Echo Reverse Spiral,90,0.03,2,,,,,,40,Axial,k,j-,Sequential Ascending,3,3,Rectangular,220x220,64x64,3.438x3.438,,10:00,,,rest,Participants were instructed to let their minds wander and to not think about anything in particular while they looked at the cross.," Participants underwent a 10 minute, eyes-open, resting acquisition in which they looked at a fixation cross in the middle of the screen. ",,"0.0,50.0,100.0,150.0,200.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0,1900.0,1950.0"
UM_2,GE,Signa,Head,,3,,Gradient Echo Reverse Spiral,90,0.03,2,,,,,,40,Axial,k,j-,Sequential Ascending,3,3,Rectangular,220x220,64x64,3.438x3.438,,10:00,,,rest,Participants were instructed to let their minds wander and to not think about anything in particular while they looked at the cross.," Participants underwent a 10 minute, eyes-open, resting acquisition in which they looked at a fixation cross in the middle of the screen. ",,"0.0,50.0,100.0,150.0,200.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0,1900.0,1950.0"
USM,Siemens,TrioTim,Head,,3,,EPI,90,0.028,2,2894,,Yes,GRAPPA,2,40,Axial,k,j-,Interleaved Ascending,3,3.3,Rectangular,220x220,64x64,3.4x3.4,240,8:06,FS,Tracking,rest,"Keep your eyes open and remain awake, letting thoughts pass through your mind without focusing on any particular mental activity",,,"1000.0,0.0,1050.0,50.0,1100.0,100.0,1150.0,150.0,1200.0,200.0,1250.0,250.0,1300.0,300.0,1350.0,350.0,1400.0,400.0,1450.0,450.0,1500.0,500.0,1550.0,550.0,1600.0,600.0,1650.0,650.0,1700.0,700.0,1750.0,750.0,1800.0,800.0,1850.0,850.0,1900.0,900.0,1950.0,950.0"
Yale,Siemens,TrioTim,Head,,3,,EPI,60,0.025,2,2520,,No,,,34,Axial > Coronal 9.5,k,j-,Interleaved Ascending,4,4,Rectangular,220x220,64x64,3.4x3.4,200,6:40,FS,,rest,"Participants were asked to lie as still as possible, keep their eyes open, try not to fall asleep, and think about whatever they want","A black background with a gray central fixation cross was presented during the resting state scan, although participants were not asked to fixate. At the end of the scan, we verified that participants had not fallen asleep.",,"1000.0,0.0,1058.82,58.82,1117.65,117.65,1176.47,176.47,1235.29,235.29,1294.12,294.12,1352.94,352.94,1411.76,411.76,1470.59,470.59,1529.41,529.41,1588.24,588.24,1647.06,647.06,1705.88,705.88,1764.71,764.71,1823.53,823.53,1882.35,882.35,1941.18,941.18"
