Tag,Attibute,Type,Description,Units,BIDSSpecified?,BIDSAttributeName,BIDSDescription,RequiredField
,Sequence Name,3,"User defined name for the Scanning Sequence (0018,0020) and Sequence Variant (0018,0021) combination.",,,SequenceName,,
,Number of Averages,3,Number of times a given pulse sequence is repeated before any parameter is changed,,,NumberofAverages,,
,Imaging Frequency,3,Precession frequency in MHz of the nucleus being addressed,,,ImagingFrequency,,
,Imaged Nucleus,3,"Nucleus that is resonant at the imaging frequency. Examples: 31P, 1H",,,ImagedNucleus,,
,Echo Number,3,"The echo number used in generating this image. In the case of segmented k-space, it is the effective Echo Number.",,,EchoNumber,,
,Magnetic Field Strength,3,"Nominal field strength of MR magnet, in Tesla",,,MagneticFieldStrength,,
,Spacing Between Slices,3,"Spacing between slices, in mm. The spacing is measured from the center-to-center of each slice.",,,SpacingBetweenSlices,,
,Number of Phase Encoding Steps,3,Total number of lines in k-space in the 'y' direction collected during acquisition.,,,NumberofPhaseEncodingSteps,,
,Percent Sampling,3,"Fraction of acquisition matrix lines acquired, expressed as a percent.",,,PercentSampling,,
,Percent Phase Field of View,3,"Ratio of field of view dimension in phase direction to field of view dimension in frequency direction, expressed as a percent.",,,PercentPhaseFieldofView,,
,Pixel Bandwidth,3,"Reciprocal of the total sampling period, in hertz per pixel.",,,PixelBandwidth,,
,Nominal Interval,3,"Average R-R interval used for the scans, in msec",,,NominalInterval,,
,Intervals Acquired,3,Number of R-R intervals acquired.,,,IntervalsAcquired,,
,Intervals Rejected,3,Number of R-R intervals rejected.,,,IntervalsRejected,,
,Reconstruction Diameter,3,Diameter in mm. of the region from within which data were used in creating the reconstruction of the image. Data may exist outside this region and portions of the patient may exist outside this region.,,,ReconstructionDiameter,,
,Receive Coil Name,3,Receive coil used.,,,ReceiveCoilName,,
,Transmit Coil Name,3,Transmit coil used.,,,TransmitCoilName,,
,Acquisition Matrix,3,Dimensions of the acquired frequency /phase data before reconstruction. Multi-valued: frequency rows\frequency columns\phase rows\phase columns.,,,AcquisitionMatrix,,
,In-plane Phase Encoding Direction,3,The axis of phase encoding with respect to the image. Enumerated Values: ROW = phase encoded in rows. COL = phase encoded in columns.,,,In-planePhaseEncodingDirection,,
,Flip Angle,3,Steady state angle in degrees to which the magnetic vector is flipped from the magnetic vector of the primary field.,,,FlipAngle,,
,SAR,3,Calculated whole body Specific Absorption Rate in watts/kilogram.,,,SAR,,
,Variable Flip Angle Flag,3,Flip angle variation applied during image acquisition. Enumerated Values: Y = yes N = no,,,VariableFlipAngleFlag,,
,dB/dt,3,The rate of change of the gradient coil magnetic flux density with time (T/s).,,,dB/dt,,
,Temporal Position Identifier,3,Temporal order of a dynamic or functional set of Images.,,,TemporalPositionIdentifier,,
,Number of Temporal Positions,3,Total number of temporal positions prescribed.,,,NumberofTemporalPositions,,
,Temporal Resolution,3,Time delta between Images in a dynamic of functional set of Images.,,,TemporalResolution,,
,,,,,Yes,TaskName,,Yes
,Parallel Acquisition,1C,"Parallel acquisition has been used to reduce measurement time. Enumerated Values: YES NO Required if Frame Type (0008,9007) Value 1 of this frame is ORIGINAL. May be present otherwise.",,,ParallelAcquisition,,
,Parallel Acquisition Technique,1C,"Parallel acquisition characteristics. Defined Terms: PILS SENSE SMASH OTHER Required if Frame Type (0008,9007) Value 1 of this frame is ORIGINAL and Parallel Acquisition (0018,9077) equals YES. Otherwise may be present if Frame Type (0008,9007) Value 1 is DERIVED and Parallel Acquisition (0018,9077) equals YES.",,,ParallelAcquisitionTechnique,,
,Parallel Reduction Factor In-plane,1C,"Measurement time reduction factor expressed as ratio of original and reduced measurement time for the in-plane direction. Required if Frame Type (0008,9007) Value 1 of this frame is ORIGINAL and Parallel Acquisition (0018,9077) equals YES. Otherwise may be present if Frame Type (0008,9007) Value 1 is DERIVED and Parallel Acquisition (0018,9077) equals YES.",,,ParallelReductionFactorIn-plane,,
,Parallel Reduction Factor out-of-plane,1C,"Measurement time reduction factor expressed as ratio of original and reduced measurement time for the out-of-plane direction Required if Frame Type (0008,9007) Value 1 of this frame is ORIGINAL and Parallel Acquisition (0018,9077) equals YES. Otherwise may be present if Frame Type (0008,9007) Value 1 is DERIVED and Parallel Acquisition (0018,9077) equals YES.",,,ParallelReductionFactorout-of-plane,,
,Number of Slices,1,The maximum number of Slices that may exist in this Series.,,,NumberofSlices,,
,Plane Orientation Sequence,1,Identifies orientation of the plane of this frame. Only a single Item shall be permitted in this sequence.,,,PlaneOrientationSequence,,
,,,,,,PhaseEncodingDirection,"defined as the direction along which phase is was
modulated which may result in visible distortions. Note that this is not the same as the DICOM
term InPlanePhaseEncodingDirection which can have ÒROWÓ or ÒCOLÓ values. This parameter is
required if a corresponding fieldmap data is present or when using multiple runs with different
phase encoding directions (which can be later used for field inhomogeneity correction).",
